"AniLifeNumber","LacNumber","LacCalvingDate","AniActive"
"",1,2020-09-24,FALSE
"",1,2020-04-16,FALSE
"FR 4401572219",5,2023-10-18,TRUE
"FR 4401572222",4,2022-07-05,FALSE
"FR 4401572223",1,2018-10-10,FALSE
"FR 4404281081",1,2017-07-06,FALSE
"FR 4404288088",6,2018-12-29,FALSE
"FR 4404288098",9,2022-10-25,FALSE
"FR 4404288101",7,2021-03-04,FALSE
"FR 4404288127",2,2016-11-13,FALSE
"FR 4404288132",3,2018-06-08,FALSE
"FR 4404288134",4,2019-01-07,FALSE
"FR 4404288140",6,2022-01-23,FALSE
"FR 4404288145",6,2022-01-19,FALSE
"FR 4404288159",3,2019-02-09,FALSE
"FR 4404288165",1,2017-01-13,FALSE
"FR 4404288165",2,2018-03-20,FALSE
"FR 4404288170",1,2017-03-19,FALSE
"FR 4404288175",5,2021-04-28,FALSE
"FR 4404288181",1,2017-02-08,FALSE
"FR 4404288182",1,2017-03-08,FALSE
"FR 4404288184",1,2017-02-15,FALSE
"FR 4404288185",7,2023-01-01,FALSE
"FR 4404288186",1,2017-03-04,FALSE
"FR 4404288187",1,2017-03-08,FALSE
"FR 4404288191",1,2017-03-13,FALSE
"FR 4404288193",4,2020-09-24,FALSE
"FR 4404288198",5,2021-09-26,FALSE
"FR 4404288201",2,2018-09-03,FALSE
"FR 4404288202",1,2017-08-15,FALSE
"FR 4404288204",3,2018-10-04,FALSE
"FR 4404288206",2,2018-11-14,FALSE
"FR 4404288216",1,2018-04-07,FALSE
"FR 4404288218",2,2018-12-14,FALSE
"FR 4404288224",2,2019-02-20,FALSE
"FR 4404288228",3,2021-07-21,FALSE
"FR 4404288232",3,2020-06-09,FALSE
"FR 4404288235",3,2020-03-20,FALSE
"FR 4404288237",6,2023-05-27,FALSE
"FR 4404288239",4,2022-07-11,FALSE
"FR 4404288240",3,2021-02-18,FALSE
"FR 4404288243",3,2020-06-11,FALSE
"FR 4404288253",3,2021-02-27,FALSE
"FR 4404288258",3,2021-01-06,FALSE
"FR 4404288259",3,2021-01-30,FALSE
"FR 4404288264",3,2021-01-13,FALSE
"FR 4404288266",3,2020-12-19,FALSE
"FR 4404288269",3,2021-01-13,FALSE
"FR 4404288270",5,2023-07-22,TRUE
"FR 4404288272",2,2020-09-10,FALSE
"FR 4404288273",3,2021-07-12,FALSE
"FR 4404288286",4,2022-07-16,FALSE
"FR 4404288287",3,2021-12-06,FALSE
"FR 4404288290",1,2019-11-22,FALSE
"FR 4404288310",4,2022-10-17,FALSE
"FR 4404288315",2,2020-12-28,FALSE
"FR 4404288319",1,2020-02-22,FALSE
"FR 4404288322",2,2021-01-10,FALSE
"FR 4404288323",2,2021-01-02,FALSE
"FR 4404288324",2,2021-09-09,FALSE
"FR 4404288332",2,2021-06-25,FALSE
"FR 4404288346",3,2022-08-29,FALSE
"FR 4404288351",3,2023-07-15,TRUE
"FR 4404288353",2,2021-10-05,FALSE
"FR 4404288354",3,2023-07-28,TRUE
"FR 4404288355",2,2021-12-25,FALSE
"FR 4404288378",2,2021-12-31,FALSE
"FR 4404288384",1,2021-10-16,FALSE
"FR 4404288393",2,2022-12-14,TRUE
"FR 4404288395",3,2023-07-30,TRUE
"FR 4404288401",3,2023-09-19,TRUE
"FR 4404288402",3,2023-08-23,TRUE
"FR 4404288403",2,2022-08-13,FALSE
"FR 4404288406",3,2023-08-29,TRUE
"FR 4404288407",3,2023-10-24,FALSE
"FR 4404288409",3,2023-09-28,TRUE
"FR 4404288417",2,2022-12-23,FALSE
"FR 4404288423",3,2023-11-15,TRUE
"FR 4404288424",2,2023-02-08,FALSE
"FR 4404288425",1,2022-04-20,FALSE
"FR 4404288433",1,2022-05-11,FALSE
"FR 4404288435",2,2022-12-30,FALSE
"FR 4404288439",2,2023-08-01,FALSE
"FR 4404288454",2,2023-09-01,FALSE
"FR 4404288455",2,2023-08-26,FALSE
"FR 4404288469",2,2023-09-03,FALSE
"FR 4404288475",2,2023-11-11,TRUE
"FR 4404288480",2,2023-03-26,FALSE
"FR 4404288499",1,2023-03-27,FALSE
"FR 4404288500",1,2023-05-29,FALSE
"FR 4404288506",1,2023-05-24,FALSE
"FR 4404288507",1,2023-07-02,FALSE
"FR 4404288509",1,2023-10-13,FALSE
"FR 4404288513",1,2023-07-21,FALSE
"FR 4404288514",1,2023-09-09,FALSE
"FR 4404288518",1,2023-08-13,FALSE
"FR 4404288523",1,2023-09-28,FALSE
"FR 4404288525",1,2023-09-25,TRUE
"FR 4404288533",1,2023-11-14,TRUE
"FR 4404288534",1,2023-11-11,TRUE
"FR 4404288587",1,2022-10-31,FALSE
"FR 4404289081",1,2017-07-06,FALSE
"FR 4944526074",5,2021-12-27,FALSE
"FR 4954409905",1,2020-05-17,FALSE
"FR 4954409921",1,2020-06-08,FALSE
"FR 4954667338",3,2017-04-08,FALSE
"FR 4958880362",4,2019-02-27,FALSE
"FR 4958880507",4,2021-03-06,FALSE
