AniLifeNumber,LacAniId,LacNumber,LacCalvingDate,milk_count
,759,1,2020-09-24 00:00:00.000,0
,760,1,2020-04-16 00:00:00.000,0
FR 4404288035,6,1,2011-09-09 00:00:00.000,0
FR 4404288035,6,2,2012-09-17 00:00:00.000,0
FR 4404288035,6,3,2013-10-27 00:00:00.000,0
FR 4404288035,6,4,2014-11-24 00:00:00.000,0
FR 4404288040,7,6,2017-02-08 00:00:00.000,0
FR 4404288059,10,1,2012-06-24 00:00:00.000,0
FR 4404288059,10,2,2013-08-18 00:00:00.000,0
FR 4404288059,10,3,2014-10-03 00:00:00.000,0
FR 4404288059,10,4,2015-11-15 00:00:00.000,0
FR 4404288078,16,1,2013-09-26 00:00:00.000,0
FR 4404288078,16,2,2014-12-10 00:00:00.000,0
FR 4404288078,16,3,2015-11-20 00:00:00.000,0
FR 4404288087,22,1,2014-03-12 00:00:00.000,0
FR 4404288087,22,2,2015-04-15 00:00:00.000,0
FR 4404288092,24,1,2014-05-27 00:00:00.000,0
FR 4404288092,24,2,2015-05-26 00:00:00.000,0
FR 4404288099,28,1,2014-10-14 00:00:00.000,0
FR 4404288108,34,1,2014-11-24 00:00:00.000,0
FR 4404288114,39,1,2015-01-12 00:00:00.000,0
FR 4404288123,45,1,2015-02-09 00:00:00.000,0
FR 4404288123,45,2,2016-01-21 00:00:00.000,0
FR 4404288141,60,1,2015-12-24 00:00:00.000,0
FR 4404288144,63,1,2015-12-19 00:00:00.000,0
FR 4404288148,67,1,2016-06-09 00:00:00.000,0
FR 4404288154,72,5,2020-05-14 00:00:00.000,0
FR 4404288156,74,3,2018-12-10 00:00:00.000,0
FR 4404288166,83,1,2016-11-13 00:00:00.000,0
FR 4404288201,138,2,2018-09-03 00:00:00.000,0
FR 4404288228,162,3,2021-07-21 00:00:00.000,0
FR 4404288458,668,3,2024-09-18 00:00:00.000,0
FR 4404288471,713,2,2023-10-23 00:00:00.000,0
FR 4404288515,841,2,2024-09-13 00:00:00.000,0
FR 4404288587,1067,1,2022-10-31 00:00:00.000,0
FR 4404289081,268,1,2017-07-06 00:00:00.000,0
FR 4912264828,115,1,2013-06-29 00:00:00.000,0
FR 4912264828,115,2,2014-08-27 00:00:00.000,0
FR 4912264828,115,3,2015-08-11 00:00:00.000,0
FR 4944526074,173,5,2021-12-27 00:00:00.000,0
FR 4952860131,122,1,2014-09-07 00:00:00.000,0
FR 4952860131,122,2,2015-12-30 00:00:00.000,0
FR 4954409921,674,1,2020-06-08 00:00:00.000,0
FR 4963921571,128,1,2013-12-30 00:00:00.000,0
FR 4963921571,128,2,2015-02-27 00:00:00.000,0
NL 1235469870,2,1,2016-05-24 00:00:00.000,0
