"","AniLifeNumber","milk_production_start_date","lac_number_calculated","still_milking","total_milk_prod","lactation_duration.x","lactation_start_date","lactation_status","lactation_total_milk_production_kg","lactation_duration.y","date_diff"
"1","FR4401572219",2022-07-07,5,FALSE,17015.6,407,2023-10-18,"Terminée",18474,436,-468
"2","FR4401572219",2023-10-19,6,TRUE,15742.4,336,2025-02-23,"En cours",0,0,-493
"3","FR4404288139",2017-09-09,2,FALSE,8112.2,324,2016-08-23,"Terminée",7926,337,382
"4","FR4404288139",2018-09-18,3,FALSE,10591.4,330,2017-09-08,"Terminée",8151,321,375
"5","FR4404288139",2019-10-09,4,FALSE,10130.7,294,2018-09-17,"Terminée",9257,292,387
"6","FR4404288139",2020-09-18,5,FALSE,9283.60000000001,312,2019-10-09,"Terminée",9893,279,345
"7","FR4404288139",2021-09-23,6,FALSE,10927.4,302,2020-09-18,"Terminée",9132,298,370
"8","FR4404288139",2023-08-31,9,FALSE,10007.8,288,2024-09-02,"En cours",9119,262,-368
"9","FR4404288276",2023-01-16,5,FALSE,11406.7,284,2024-01-12,"Terminée",11722,304,-361
"10","FR4404288276",2024-01-12,6,TRUE,10258.1,251,2025-01-27,"Terminée",0,0,-381
"11","FR4404288302",2022-08-11,5,FALSE,13106.2,295,2023-07-23,"Terminée",12776,295,-346
"12","FR4404288302",2023-07-24,6,FALSE,12177.4,291,2024-09-05,"En cours",13143,292,-409
"13","FR4404288305",2022-12-26,5,FALSE,13054.6,298,2024-01-09,"Terminée",13881,307,-379
"14","FR4404288305",2024-01-09,6,TRUE,12459.3,254,2025-02-16,"En cours",7554,128,-404
"15","FR4404288306",2023-04-09,5,FALSE,11119.8,292,2024-05-08,"Terminée",10719,321,-395
"16","FR4404288314",2022-12-24,5,FALSE,13486.4,328,2024-01-05,"Terminée",14194,311,-377
"17","FR4404288314",2024-01-06,6,TRUE,12202.1,257,2025-01-02,"En cours",8567,173,-362
"18","FR4404288349",2022-09-30,4,FALSE,13996.2,322,2023-10-20,"Terminée",13977,296,-385
"19","FR4404288349",2023-10-20,5,FALSE,14004.7,309,2024-10-27,"En cours",10424,240,-373
"20","FR4404288352",2023-01-16,4,FALSE,15141.1,417,2024-07-27,"En cours",13237,332,-558
"21","FR4404288360",2023-07-02,4,FALSE,15758,404,2024-10-08,"En cours",11892,259,-464
"22","FR4404288389",2023-05-04,4,FALSE,14016.4,421,2024-09-19,"En cours",11943,278,-504
"23","FR4404288392",2023-10-06,4,FALSE,11438.9,285,2024-09-19,"En cours",9474,278,-349
"24","FR4404288393",2022-12-08,2,TRUE,23227.7,651,2022-12-24,"Terminée",23707,669,-16
"25","FR4404288400",2023-04-02,4,FALSE,18455.9,472,2024-09-07,"En cours",14451,290,-524
"26","FR4404288401",2023-09-20,4,TRUE,17009.3,364,2024-12-26,"En cours",9855,180,-463
"27","FR4404288402",2022-07-19,3,FALSE,6973.1,234,2023-08-23,"Terminée",14052,427,-400
"28","FR4404288402",2023-08-24,4,TRUE,13215.1,391,2025-02-11,"En cours",6104,133,-537
"29","FR4404288404",2022-09-19,3,FALSE,9821.2,283,2023-08-24,"Terminée",11353,307,-339
"30","FR4404288404",2023-08-25,4,FALSE,11374,308,2024-08-30,"En cours",11460,298,-371
"31","FR4404288409",2022-07-29,3,FALSE,14313.7,378,2023-09-27,"Terminée",10449,172,-425
"32","FR4404288409",2023-09-28,4,TRUE,16508.9,357,2025-01-03,"En cours",10449,172,-463
"33","FR4404288416",2023-01-07,3,FALSE,10869.9,281,2023-12-10,"Terminée",16011,383,-337
"34","FR4404288416",2023-12-11,4,TRUE,13024.3,283,2025-02-12,"En cours",6753,132,-429
"35","FR4404288422",2023-04-03,3,FALSE,14827.6,404,2024-09-12,"En cours",13337,285,-528
"36","FR4404288431",2023-03-11,3,FALSE,10188,286,2024-02-23,"Terminée",15373,396,-349
"37","FR4404288431",2024-02-23,4,TRUE,9907.40000000001,209,2025-06-19,"En cours",0,0,-482
"38","FR4404288432",2023-04-11,3,FALSE,11370.3,310,2024-09-07,"En cours",12532,290,-515
"39","FR4954409906",2022-08-01,4,FALSE,12544,277,2023-07-05,"Terminée",13973,357,-338
"40","FR4954409906",2023-07-05,5,FALSE,13551.6,345,2024-08-18,"En cours",12226,310,-410
"41","FR4954409920",2022-01-17,3,FALSE,16934.6,438,2023-08-30,"Terminée",16911,347,-590
"42","FR4954409920",2023-08-30,4,FALSE,16571.7,338,2024-10-03,"En cours",11298,264,-400
