"","animal","entry_date","entry_code","exit_date","exit_code"
"1","FR4404450300",2024-05-31,"P",2024-12-02,"E"
"2","FR4404450300",2025-01-02,"P",2025-01-21,"E"
"3","FR4404450304",2024-05-31,"P",2024-12-02,"E"
"4","FR4404450304",2025-01-02,"P",2025-01-21,"E"
"5","FR4404454224",2024-05-31,"P",2024-12-02,"E"
"6","FR4404454224",2025-01-02,"P",2025-03-20,"E"
"7","FR4404454225",2024-05-31,"P",2024-12-02,"E"
"8","FR4404454225",2025-01-02,"P",2025-02-18,"E"
"9","FR4404659084",2018-11-30,"P",2019-01-18,"E"
"10","FR4404659084",2020-02-01,"A",2020-12-08,"B"
"11","FR4416281536",2016-01-07,"A",2019-05-20,"H"
"12","FR4416281536",2020-02-01,"A",2020-03-25,"B"
"13","FR4416281541",2017-04-15,"P",2017-10-16,"E"
"14","FR4416281541",2017-10-16,"A",2019-03-04,"B"
"15","FR4416281544",2016-01-07,"A",2018-01-08,"E"
"16","FR4416281544",2020-02-01,"A",2020-07-20,"B"
"17","FR4416281546",2016-01-07,"A",2018-01-08,"E"
"18","FR4416281546",2020-02-01,"A",2020-08-18,"B"
"19","FR4416281739",2018-03-02,"A",2019-12-12,"E"
"20","FR4416281739",2020-02-01,"A",2020-05-18,"E"
"21","FR4416281742",2018-03-13,"A",2019-12-12,"E"
"22","FR4416281742",2020-02-01,"A",2023-03-01,"B"
"23","FR4416281747",2018-04-04,"A",2019-12-12,"E"
"24","FR4416281747",2020-02-01,"A",2020-04-02,"E"
"25","FR4418739361",2018-04-16,"A",2019-08-02,"E"
"26","FR4418739361",2020-02-01,"A",2021-10-20,"B"
"27","FR4445090313",2018-08-10,"A",2019-12-12,"E"
"28","FR4445090313",2020-02-01,"A",2020-06-10,"E"
"29","FR4450737826",2018-08-14,"A",2019-12-24,"H"
"30","FR4450737826",2020-02-01,"A",2020-07-20,"B"
"31","FR4474142905",2018-04-19,"A",2018-11-30,"H"
"32","FR4474142905",2020-02-01,"A",2023-04-18,"B"
"33","FR5368761786",2017-10-10,"A",2019-05-20,"H"
"34","FR5368761786",2020-02-01,"A",2021-01-14,"B"
"35","FR5368761788",2017-10-10,"A",2019-06-07,"E"
"36","FR5368761788",2020-02-01,"A",2024-03-06,"B"
"37","FR5368761800",2017-10-10,"A",2019-09-05,"H"
"38","FR5368761800",2020-02-01,"A",2021-03-07,"M"
